volume,issue,month,year,type,title,author,abstract_research_summary,abstract managerial summary
44,1,January,2023,RESEARCH SUMMARY,Changing the channel: Digitization and the rise of “middle tail” strategies,"Mary J. Benner, Joel Waldfogel","Prior research has studied whether digitization shifts demand away from mass-appeal blockbusters toward a “long tail” of existing products. We extend this work by studying whether digitization influences the products created. Using unique data on movies, we examine whether the reduced costs of production and new digital distribution channels spur producers to create products aimed at smaller audiences. We employ a flexible, transparent, and largely graphical empirical approach to document changes unfolding with digitization. We find growth in both intended blockbuster and long tail products, but also, the rise of a “middle tail,” movies distributed via digital channels, with budgets suggesting commercial intent but well below the averages for theatrical distribution. The new middle tail is largely due to newcomers rather than major incumbents.","Digitization has reduced the costs to create movies, while also enabling new distribution channels that avoid the high costs of theatrical distribution. With lower costs, movies no longer need to be “blockbusters” at the box office to be financially successful. In this article, we study whether digitization has spurred an increase in lower-budget movies that are not aimed for release in theaters. We find that digitization has unleashed a large number of very low budget movies that attract little commercial attention (i.e., the “long tail”). However, we also find an increase in a new category of movies with budgets between $100,000 and $10 million, aimed at smaller audiences via new digital distribution channels. We show growth in this “middle tail” following digitization."
44,1,January,2023,RESEARCH SUMMARY,"Bad bets: Nonlinear incentives, risk, and performance","Rui J. P. de Figueiredo Jr., Evan Rawley, Orie Shelef","This article examines the consequences of incentive slope and shape on performance and risk-taking. It focuses on how slope—incentive intensity—influences risk-taking, and how shape—nonlinearity—influences performance. We use quasi-random variation in the context of the hedge-fund industry to separate slope and shape effects. Our results demonstrate that shape has large and important effects on performance, and that slope affects risk-taking. The evidence suggests that poor performance in the industry is often due to bad bets—excessive risk-taking that reduces performance—taken in response to nonlinear incentives. The findings suggest that, although nonlinear incentives are widely used, they can, under certain circumstances, predictably produce pernicious effects on organizational performance.","This article examines how nonlinear incentive contracts—such as contracts that reward performance above a threshold substantially more than below it—influence managerial behavior. Using the hedge-fund industry, in which nonlinear incentives are ubiquitous, as a laboratory, we find that nonlinear incentive schemes cause managers who are “close” to, but below, the performance threshold to take bad bets—excessive risk-taking that reduces performance. The findings suggest that, although nonlinear incentives are widely used, they can, under certain circumstances, predictably produce pernicious effects on organizational performance."
44,1,January,2023,RESEARCH SUMMARY,Whom should a leader imitate? Using rivalry-based imitation to manage strategic risk in changing environments,"Dmitry Sharapov, Jan-Michael Ross","We study the performance implications of dynamic environments for a leader's rivalry-based imitation efforts in a setting with multiple rivals. We disentangle competitive interactions from environmental changes to show that a leader's simple rules to either imitate the closest rival in terms of attributes (her neighbor) or the closest rival in terms of rank (her challenger) can help to maintain the performance gap to her competitors. Using a computational model and an empirical test, we find that environmental changes alter the trade-offs between imitation accuracy and the responsiveness to threats from distant rivals. Consequently, when environmental changes are infrequent and minor, neighbor imitation is more effective in maintaining the lead, whereas challenger imitation prevails as environmental changes become more frequent and substantial.","By showing that imitating a lower-ranked rival can help a leader to stay ahead, recent research has overturned the common thinking that imitation is only useful for those trying to catch up with the leader. However, these insights come from contexts in which the leader has only one competitor. Can imitation also be effective for a leader competing against multiple rivals, and whom should the leader imitate? We find that imitation can indeed help the leader to maintain their lead against multiple rivals, but that the choice of imitation target matters and should take the competitive environment into account. In relatively stable environments, imitating your most similar rival works best, while imitating whoever is in second place is a more effective approach in changeable environments."
44,1,January,2023,RESEARCH SUMMARY,The effects of strategy and institutions on value creation and appropriation in firms: A longitudinal study of three telecom companies,"Philipp Kern, Howard Gospel","Strategic management has come to pay more attention to value creation and appropriation (VCA) among the firm's stakeholders, including customers, capital owners, and employees. Existing research has conceptualized this as a strategic choice bounded by the bargaining power of each stakeholder group, which, we argue, risks misattributing outcomes by neglecting structural constraints. Instead, these dynamics need to be understood within the wider institutional context shaping the behavior of managers and stakeholders. Using a question-driven mixed-methods approach, we investigate the evolution of VCA in three telecom companies located in different institutional systems—British Telecom, Deutsche Telekom, and Telecom Italia. Our findings suggest that national institutional and firm strategic effects must be considered together to understand patterns of VCA among stakeholders.","Using an emerging methodology, we quantify how three telecom firms (British Telecom, Deutsche Telecom, and Telecom Italia) have created and distributed economic value since privatization. Our focus is on explaining the extent to which various stakeholders—employees, customers, capital owners, and government—were able to appropriate the value created by the firms. Some similarities are found across the three companies, but we also found major differences. To explain patterns, we bring together (a) strategic decision making by managers within the firm and (b) constraints imposed by institutions outside the firm. We find both to be important, interlinked drivers of distributional patterns. The article gives managers and stakeholders a means to understand major changes and determinants of value creation and distribution."
44,2,February,2023,RESEARCH SUMMARY,Issue Information,,,
44,2,February,2023,RESEARCH SUMMARY,Managerial political power and the reallocation of resources in the internal capital market,Dongil Daniel Keum,"We examine how managers' political power reallocates resources in the internal capital market. By shifting the focus from financial to firm-specific, non-financial resources that are difficult to evaluate and zero-sum in nature, we revise the prevailing view that managers' political power plays a significant yet contingent role under financial constraint and weak governance. We instead characterize managerial political power as an intrinsic, inescapable determinant of internal competition and resource allocation. Our research design links sentence-by-sentence, qualitative analyses of the legal opinion delivered as breaking news during the corruption trials involving a key executive at Samsung group with minute-level shifts in share prices. This study presents a politics-based theory of the internal capital market and highlights the methodological potential of quantitative case studies.","Managerial politics presents a vexing yet persistent reality of organizational life and the inter-divisional competition for resources. We attribute its pervasiveness to the contest over non-financial resources with fuzzy ownership and significant yet uncertain value, such as bargaining power over internal transfer pricing, managerial attention, and control over new business opportunities. Because of the zero-sum dynamics of these non-financial resources and their constant scarcity, political contests cannot be suppressed through the provision of financial slack or agency controls and even extend to family members. Appointing rival managers along clearly separated lines of businesses may curb, but not eliminate, managerial politics. We show that investors are acutely aware of the value of managers' political power and make investment decisions based on them."
44,2,February,2023,RESEARCH SUMMARY,Standing on the parent's shoulder or in its shadow? Alliance partner overlap between employee spinouts and their parents,"Shweta Gaonkar, Mahka Moeen","Employee spinouts, defined as startups founded by prior employees of an industry firm, play a critical role in firm creation and knowledge transfer. Their superior performance often arises from resources and knowledge accrued during employment in parent firms. An understudied question is whether prior employment in parent firms affects an employee spinout's alliance formation, given that alliances are critical to startups' survival and commercial success. This article examines when an employee spinout's alliance partners overlap with the parent's partners. Drawing on alliance formation patterns of U.S. medical device spinouts founded between 1990 and 2013, we find that spinouts building on their parents' technologies tend to have a greater partner overlap with their parents, whereas product market overlap leads to fewer overlapping partners.","A rich context for entrepreneurs to identify new opportunities is through their employment in existing industry firms. When employees leave their job and create a spinout, their employment experience often provides them superior knowledge and expertise. Our study of medical device startups uncovers another distinctive feature of employee spinouts, that is, access to their employer's alliance partners. However, for such opportunities to come to fruition, entrepreneurs need to pay attention to their technical and product market positioning relative to their past employers. When spinouts build on their employer's technologies without challenging them in the product space, they can leverage connections to their employer's partners. This alliance strategy may free spinouts from the alliance formation struggles faced by resource-deficient startups."
44,2,February,2023,RESEARCH SUMMARY,Online communities on competing platforms: Evidence from game wikis,"Johannes Loh,
 Tobias Kretschmer","Many platforms rely on volunteer contributions for value creation. Thus, unpaid contributors are valuable to the platform, but control over their activities is limited. We study whether and how volunteer communities can provide a competitive advantage and ask how contributor behavior depends on a platform's competitive position. We propose two channels: First, a stronger competitive position facilitates contributor coordination, leading to a larger active community. Second, a platform's competitive position is related to contributor motivation, which drives how much individuals contribute. Studying two competing game wiki platforms, we find that a platform's stronger competitive position is associated with higher activity, primarily driven by the number of contributors, which in turn triggers increased contributions by existing contributors. Further, high-productivity contributors are especially active on a stronger platform.","Online “crowdsourcing” communities create value for many digital platforms, but managing them in a way that ensures productive contributions is challenging. To better understand the conditions under which online communities create value productively we analyze how contribution patterns differ between more and less successful platforms. We study 13 game wiki communities on two competing platforms and find that success is tied to higher activity, which is in turn the result of more manpower in the value creation process, but also higher productivity by individual contributors. In addition, a dedicated core of highly productive community members is an important driver of platform success. These findings have implications for the motivation of community members, and the entry and growth strategies of crowdsourced platforms."
44,2,February,2023,RESEARCH SUMMARY,"Changes in industry and corporate effects in the United States, 1978–2019",Ming zhu Wang,"I present evidence of a shift in the relative contributions of industry and corporate effects to heterogeneity in business performance in the United States. In a systematic analysis of sequential timeframes between 1978 and 2019, I find a persistent rise in the explanatory power of corporate effects, which has grown to surpass that of industry effects. Consistent with these trends, I also find that an increasing share of multi-business firms is operating only high-performing or only low-performing businesses, which coincides with refocusing efforts that began in the 1980s. This temporal perspective provides an explanation for why prior studies estimating industry and corporate effects have reached different conclusions.","I present evidence that how much industry and corporate parentage each matter to business performance among diversified firms in the United States has changed over time in a systematic way. Specifically, my analyses show that while factors at the industry level may have mattered more than those at the corporate level from the late 1970s through most of the 1990s, this has since reversed and corporate parentage likely explained more of business profitability throughout the 2000s and 2010s than industry membership. These changes coincide with a trend that began in the 1980s toward greater focus and relatedness among the operations of diversified firms."
44,2,February,2023,RESEARCH SUMMARY,Using supervised machine learning for large-scale classification in management research: The case for identifying artificial intelligence patents,"Milan Miric, Nan Jia, Kenneth G. Huang","Researchers increasingly use unstructured text data to construct quantitative variables for analysis. This goal has traditionally been achieved using keyword-based approaches, which require researchers to specify a dictionary of keywords mapped to the theoretical concepts of interest. However, recent machine learning (ML) tools for text classification and natural language processing can be used to construct quantitative variables and to classify unstructured text documents. In this paper, we demonstrate how to employ ML tools for this purpose and discuss one application for identifying artificial intelligence (AI) technologies in patents. We compare and contrast various ML methods with the keyword-based approach, demonstrating the advantages of the ML approach. We also leverage the classification outcomes generated by ML models to demonstrate general patterns of AI technological innovation development.","Text-based documents offer a wealth of information for researchers and business analysts. However, researchers often need to find a way to classify these documents to use in subsequent research projects. In this paper, we demonstrate how supervised ML methods can be used to automate the process of classifying textual documents into pre-defined categories or groups. We provide an overview of when such techniques may be used in comparison to other methods, and the considerations and tradeoffs associated with each method. We apply these methods to identify AI-based technologies from all patents in the United States, based on patent abstract text. This allows us to show interesting patterns of AI innovation development in the United States. We also provide the code and data used in this paper for future research."
44,2,February,2023,RESEARCH SUMMARY,Dynamic capabilities and governance: An empirical investigation of financial performance of the higher education sector,"Sohvi Heaton, David Teece, Eugene Agronin","We postulate that resource allocation decisions consistent with dynamic capabilities can improve financial performance, but that governance moderates the relationship between resource allocation flexibility and financial performance. Using more than a decade of data on US public universities, we find that flexibility has much more impact when matched by lower levels of governance that allow greater expenditure autonomy for university executives and administrators.","Organizations are increasingly subject to conflicting demands imposed by their institutional environments. Given the importance of governance arrangements, we apply strategic management concepts to public universities and investigate the effect of external governance arrangements on university performance. We show that universities that reallocate resources more regularly are more likely to run larger budget surpluses. This is far more likely to be true at universities where external governance arrangements allow greater executive discretion."
44,2,February,2023,RESEARCH SUMMARY,Do ambitious entrepreneurs benefit more from training?,"Reddi Kotha, Balagopal (Bala) Vissa, Yimin Lin, Anne-Valérie Corboz","Does growth training help entrepreneurs scale-up new ventures? Our field experiment answers this question using data from 181 Singapore-based, early-growth entrepreneurs drawn from a broad range of industry sectors. Treatment content focused on three growth-catalyst tools relevant for formulating and executing innovation-led growth: business-model design, leveraging external networks, and building internal teams. Treatment format comprised interactive lecture sessions and workshops on these tools supplemented by personalized coaching in applying the tools to entrepreneurs' specific challenges. We find that ventures led by entrepreneurs that received training experienced sales growth of 72.5% compared to 30.3% for those in the control condition. Furthermore, ventures led by entrepreneurs with more ambitious growth expectations experienced sales growth of about 100% compared to 10% for those in the control condition.","We study how training in growth-catalyst tools help entrepreneurs scale-up new ventures. We focused on three tools relevant for formulating and executing innovation-led growth: business-model design, leveraging external networks, and building internal teams. The training format comprised lecture workshops and personalized coaching in applying the tools. Our quantitative findings confirm that entrepreneurs who attended the training increased their venture's sales revenue, and the more ambitious entrepreneurs increased their venture's sales revenue to a much greater degree. Illustrative interviews suggest these tools help entrepreneurs to reimagine their business, successfully access influential resource-holders such as potential investors or customers, and persuade them by representing their business in a credible and succinct fashion. Our findings inform policymakers designing entrepreneurial training interventions on how participants' ambitions shapes intervention success."
44,2,February,2023,RESEARCH SUMMARY,The option value in complements within platform-based ecosystems,"Puay Khoon Toh, Shiva Agarwal","Within platform-based ecosystems, what drives platform owners' investment decision to enable third-party complements onto their platforms? Departing from the conventional focus on the complementarity value that these complements add to platform owners, we examine how uncertainty in the complementary product market drives this decision. We offer a novel perspective on third-party complements—they contain option value allowing the platform owner to defer its own entry into the market. Thus, uncertainty increases investment in enabling complements, especially with greater “downside risk” in the market or learning-by-observing. We demonstrate this perspective using numerical examples, simulations, and data on Apple's iPhone ecosystem from 2010 to 2015. This perspective brings together literatures on complementarity value and entry into the complementary market, and indicates that complements generate more than complementarity value within platform-based ecosystems.","To manage complements within a platform-based ecosystem, the platform owner needs to understand how complements add value. Conventionally, complements are seen to render the platform more attractive. We offer a different view—complements can be seen as real options for the platform owner to learn about the product-market potential and decide later if it should enter the market with its own product. Using data from Apple's iPhone ecosystem, we demonstrate this option value and show that it is salient when “downside risk” of the market is high or learning-by-observing is possible. Our analysis suggests that without considering such option value, platform managers may have underestimated the value-add of complements on their platforms. Our findings also contribute to recent discussions about platform owners' entry into third-party spaces."
44,2,February,2023,RESEARCH SUMMARY,Multi-project work and project performance: Friends or foes?,"Anatoli Colicev, Tuuli Hakkarainen, Torben Pedersen","While multi-project work (MPW) is becoming an increasingly popular work arrangement, its relationship with project performance is understudied. On the one hand, MPW is deployed to increase employee worktime utilization and productivity, which should be reflected in more timely project completion. On the other hand, MPW also brings switching costs due to attention residue and cognitive setup. Based on this trade-off, we derive an inverted U-shaped relationship between MPW and project performance. We find support for this relationship in a longitudinal dataset containing 9,649 project-month-employee observations. More specialized experience, project similarity, and employee familiarity positively moderate the inverted U-shape. Furthermore, the results are robust to a host of model specifications, data structures, assumptions, and alternative explanations.","How many projects can you work on simultaneously? We study this question in the context of new product development (NPD) projects in a multinational organization. We suggest that multi-project work (MPW) might be a double-edged sword. On the one hand, MPW academics or engineers can be more productive by filling the gaps in their schedules and developing time management practices. On the other hand, MPW also carries switching costs. This trade-off creates an inverted U-shaped relationship between MPW and project performance. So, how can MPW be more beneficial or less costly? We find that more specialized employees can benefit more from productivity gains while working with familiar members or similar projects can alleviate switching costs."
44,3,March,2023,RESEARCH SUMMARY,Issue Information,,,
44,3,March,2023,RESEARCH SUMMARY,Does imitation increase or decrease demand for an original product? Understanding the opposing effects of discovery and substitution,"Erdem Dogukan Yilmaz, Ivana Naumovska, Milan Miric","This article studies how the entry of an imitative product influences the demand for the original, in markets with a large number of products where consumers are not aware of most products. We suggest that the release of an imitative product triggers two countervailing forces: a discovery effect that increases awareness and demand for the original, and a substitution effect decreasing that demand. When the imitation is horizontally differentiated, the substitution effect is weaker, and the discovery effect leads to increased demand for the original, particularly so when the original is less well-known. However, when the imitation is vertically differentiated, the discovery effect does not benefit the original, and the demand decreases given the substitution effect. We test our theory in the context of 3D-printable products.","Imitative products typically harm the performance of the original product. This is in part the rationale for deterring imitation by acquiring intellectual property (IP) rights. However, as we demonstrate, the release of an imitative product may increase discovery of the original product, and therefore demand for it. In markets with a large number of products, products typically compete for attention, and an imitative product may serve as a channel through which attention spills over from the imitation to the original. This effect is more pronounced when the original product is less well-known. This suggests that, under certain conditions, firms may benefit from pursuing a more open IP strategy that encourages imitation. Examples of marketplaces where imitation may increase demand for the original include those for music, e-books, software, and mobile apps."
44,3,March,2023,RESEARCH SUMMARY,The effects of CEO activism: Partisan consumer behavior and its duration,"Young Hou, Christopher W. Poliquin","CEOs increasingly engage in activism on controversial social and political issues that do not directly affect their core business. Simultaneously, the general public is increasingly politically polarized. We examine how CEOs' support for gun control after two mass shootings differentially affected the behavior of liberal and conservative consumers and the persistence of these effects. Using mobile phone location data to measure store-level visits, we find (a) consumer visits to stores decreased by 3%; (b) this decrease was asymmetric: visits in the most conservative counties decreased by about 5% but did not change in the most liberal counties; and (c) these effects dissipated within 10 weeks after activism. Our results highlight the strategic implications for executives pressured to take stances on controversial issues.","We study how consumers respond to CEO support for gun control, and how consumers' partisan views influence their behavior. Visits to the stores of several major retailers declined about 3% in the 4 weeks after their CEOs supported expanding background checks for gun purchases. In the most liberal counties, visits did not change following CEO support for gun control, while in the most conservative counties visits declined about 5%. Hence, the reaction of liberal consumers did not counteract the reaction of conservative consumers. We find, however, that these effects dissipated within 10 weeks; as a result, retailers whose CEOs supported gun control did not experience any long-term, net decrease in sales despite the short-term sales decrease in conservative counties."
44,3,March,2023,RESEARCH SUMMARY,Peering into a crystal ball: Forecasting behavior and industry foresight,"Rahul Kapoor, Daniel Wilde","What makes some managers and entrepreneurs better at forecasting the industry context than others? We argue that, regardless of experience or expertise, a learning-based forecasting behavior in which individuals attend to and incorporate new relevant information from the environment into an updated belief that aligns with the Bayesian belief updating process is likely to generate superior industry foresight. However, the effectiveness of such a cognitively demanding process diminishes under high levels of uncertainty. We find support for these arguments using an experimental design of forecasting tournaments in the managerially relevant context of the global automotive industry from 2016 to 2019. The study provides a novel account of individual-level forecasting behavior and its effectiveness in an evolving industry and suggests important implications for managers and entrepreneurs.","How a focal industry will evolve is a key forecasting problem faced by managers and entrepreneurs as they seek to identify opportunities and make strategic decisions. However, developing superior industry foresight in the face of significant change, and limited and often contradictory information, can be especially challenging. We study how individuals forecast the ongoing transformation of the global automotive industry with respect to electrification and autonomy, using a novel research design of forecasting tournaments. A forecasting process in which individuals update their beliefs by neither ignoring prior information nor overacting to new information helps to generate superior industry foresight. There was a significant penalty to forecasting accuracy when individuals did not update their beliefs at all, or when they updated, but overreacted to new information."
